service_id,date,exception_type
229378,20240502,1
229388,20240502,1
229398,20240502,1
229408,20240502,1
229418,20240502,1
229428,20240502,1
229438,20240502,1
229448,20240502,1
229458,20240502,1
229468,20240502,1
229478,20240502,1
229488,20240502,1
229498,20240502,1
229508,20240502,1
229518,20240502,1
229528,20240502,1
229536,20240502,1
229544,20240502,1
229554,20240502,1
229564,20240502,1
229574,20240502,1
229582,20240502,1
229588,20240502,1
229596,20240502,1
229606,20240502,1
229616,20240502,1
229626,20240502,1
229636,20240502,1
229646,20240502,1
229656,20240502,1
229664,20240502,1
229670,20240502,1
229676,20240502,1
229694,20240502,1
229704,20240502,1
229712,20240502,1
229718,20240502,1
229724,20240502,1
229731,20240502,1
229740,20240502,1
229750,20240502,1
229760,20240502,1
229770,20240502,1
229780,20240502,1
229790,20240502,1
229800,20240502,1
229810,20240502,1
229820,20240502,1
229829,20240502,1
229836,20240502,1
229842,20240502,1
229850,20240502,1
229864,20240502,1
229874,20240502,1
229890,20240502,1
229900,20240502,1
229910,20240502,1
229920,20240502,1
229930,20240502,1
229946,20240502,1
229956,20240502,1
229966,20240502,1
229976,20240502,1
229986,20240502,1
229996,20240502,1
230006,20240502,1
230016,20240502,1
230026,20240502,1
230036,20240502,1
230046,20240502,1
230056,20240502,1
230066,20240502,1
230076,20240502,1
230084,20240502,1
230092,20240502,1
230100,20240502,1
230108,20240502,1
230118,20240502,1
230128,20240502,1
230138,20240502,1
230148,20240502,1
230158,20240502,1
230168,20240502,1
230178,20240502,1
230186,20240502,1
230194,20240502,1
230204,20240502,1
230212,20240502,1
230218,20240502,1
230224,20240502,1
230232,20240502,1
230242,20240502,1
230252,20240502,1
230262,20240502,1
230270,20240502,1
230276,20240502,1
230284,20240502,1
230292,20240502,1
230300,20240502,1
230310,20240502,1
230320,20240502,1
230330,20240502,1
230338,20240502,1
230344,20240502,1
230350,20240502,1
230358,20240502,1
230366,20240502,1
230374,20240502,1
230384,20240502,1
230394,20240502,1
230402,20240502,1
230410,20240502,1
230420,20240502,1
230430,20240502,1
230440,20240502,1
230450,20240502,1
230458,20240502,1
230464,20240502,1
230470,20240502,1
230478,20240502,1
230488,20240502,1
230496,20240502,1
230502,20240502,1
230510,20240502,1
230518,20240502,1
230525,20240502,1
230535,20240502,1
230545,20240502,1
230555,20240502,1
230565,20240502,1
230575,20240502,1
230585,20240502,1
230595,20240502,1
230605,20240502,1
230615,20240502,1
230625,20240502,1
230635,20240502,1
230645,20240502,1
230655,20240502,1
230665,20240502,1
230675,20240502,1
230683,20240502,1
230690,20240502,1
230700,20240502,1
230710,20240502,1
230720,20240502,1
230730,20240502,1
230738,20240502,1
230743,20240502,1
230748,20240502,1
230755,20240502,1
230765,20240502,1
230775,20240502,1
230785,20240502,1
230795,20240502,1
230805,20240502,1
230815,20240502,1
230825,20240502,1
229281,20240503,1
229291,20240503,1
229301,20240503,1
229311,20240503,1
229321,20240503,1
229330,20240503,1
229339,20240503,1
229349,20240503,1
229359,20240503,1
229369,20240503,1
229379,20240503,1
229389,20240503,1
229399,20240503,1
229409,20240503,1
229419,20240503,1
229429,20240503,1
229439,20240503,1
229449,20240503,1
229459,20240503,1
229469,20240503,1
229479,20240503,1
229489,20240503,1
229499,20240503,1
229509,20240503,1
229519,20240503,1
229529,20240503,1
229537,20240503,1
229545,20240503,1
229555,20240503,1
229565,20240503,1
229575,20240503,1
229583,20240503,1
229589,20240503,1
229597,20240503,1
229607,20240503,1
229617,20240503,1
229627,20240503,1
229637,20240503,1
229647,20240503,1
229657,20240503,1
229665,20240503,1
229671,20240503,1
229677,20240503,1
229695,20240503,1
229705,20240503,1
229713,20240503,1
229719,20240503,1
229725,20240503,1
229732,20240503,1
