route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
23,2,52,LA LAGUNA -> LAS TOSCAS->POR EL SOCORRO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-052,75AD1C,000000
24,2,54,LA LAGUNA -> RAVELO ->POR AGUA GARCÍA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-054,75AD1C,000000
25,2,55,LA LAGUNA -> BCO.GRANDE- POR GENETO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-055,75AD1C,000000
26,2,56,LA LAGUNA -> BCO.GRANDE->POR LLANO DEL MORO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-056,75AD1C,000000
30,2,57,< > 51  CIRCULAR LA LAGUNA -> TEJINA - TACORONTE- LA LAGUNA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-057,75AD1C,000000
137,2,76,LA LAGUNA -> CARBONERAS -> AFUR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-076,75AD1C,000000
138,2,77,LA LAGUNA -> EL BAILADERO -> POR LAS MERCEDES,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-077,75AD1C,000000
246,2,100,SANTA CRUZ -> PUERTO DE LA CRUZ (DIRECTA),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-100,75AD1C,000000
28,2,101,LA LAGUNA -> LA OROTAVA(POR CTRA.GENENERAL),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-101,75AD1C,000000
55,2,102,SANTA CRUZ -> PUERTO DE LA CRUZ(POR LAS ARENAS),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-102,75AD1C,000000
29,2,103,SANTA CRUZ -> PUERTO DE LA CRUZ(POR EL BOTÁNICO),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-103,75AD1C,000000
156,2,104,SANTA CRUZ -> PUERTO DE LA CRUZ (POR TACORONTE),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-104,75AD1C,000000
33,2,105,SANTA CRUZ -> PUNTA DEL HIDALGO-POR LA LAGUNA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-105,75AD1C,000000
122,2,106,SANTA CRUZ -> ICOD DE LOS VINOS(express),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-106,75AD1C,000000
57,2,108,SANTA CRUZ - OROTAVA - REALEJOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-108,75AD1C,000000
34,2,110,SANTA CRUZ -> COSTA ADEJE (express),3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-110,75AD1C,000000
100,2,111,SANTA CRUZ-> LOS CRISTIANOS - COSTA ADEJE,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-111,75AD1C,000000
248,2,112,SANTA CRUZ - LOS CRISTIANOS,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-112,75AD1C,000000
38,2,120,SANTA CRUZ -> GÜIMAR-POR CANDELARIA Y EL PUERTITO DE GÜIMAR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-120,75AD1C,000000
39,2,121,GÜIMAR->ARAFO->POLÍGONO DE GÜIMAR->CANDELARIA,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-121,75AD1C,000000
40,2,122,SANTA CRUZ ->LAS CALETILLAS-> CANDELARIA Y POLÍGONO I.DE GÜIMAR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-122,75AD1C,000000
111,2,126,CANDELARIA - GUAJARA(UNIVERSIDAD) - H.U. LA CANDELARIA - INTERCAMBIADOR SC,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-126,75AD1C,000000
110,2,127,GÜIMAR -> CANDELARIA -> BCO.HONDO -> IGUESTE -> ARAYA -> GÜIMAR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-127,75AD1C,000000
242,2,128,SANTA CRUZ-LA HIDALGA-ARAFO-GUIMAR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-128,75AD1C,000000
45,2,138,SANTA CRUZ -> TABAIBA BAJA->POR RADAZUL,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-138,75AD1C,000000
1,2,139,SANTA CRUZ -> TABAIBA BAJA->POR RADAZUL,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-139,75AD1C,000000
4,2,142,SANTA CRUZ -> URB. AÑAZA-> URB. ACORÁN-> BARRANCO HONDO,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-142,75AD1C,000000
139,2,201,INTERCAMBIADOR -> LA VERDELLADA -> INTERCAMBIADOR,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-201,4F1780,FFFFFF
140,2,203,INT. -> S. LÁZARO-> TORNERO-> GAVIAS-> SAN BENITO-> TRINIDAD-> INT.,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-203,4F1780,FFFFFF
141,2,204,INT.-P. DEL CRISTO-EL BRONCO-LOMO LARGO-EL RAYO-URB.AGUERE-TRINIDAD-INT.,3,http://www.titsa.com/index.php/tus-guaguas/lineas-y-horarios/linea-204,4F1780,FFFFFF
